date	obama	intelligent us politics	youtube	security	high definition entertainment
20130412	24	0	300	0	410
20130413	122	0	349	0	365
20130414	238	0	234	0	241
20130415	372	0	260	0	99
20130416	493	0	439	0	115
20130417	580	0	576	77	138
20130418	646	0	457	215	169
20130419	777	0	363	259	190
20130420	728	0	231	175	136
20130421	672	0	183	84	84
20130422	525	0	235	119	74
20130423	362	0	292	157	196
20130424	105	0	160	66	127
20130425	155	0	343	171	184
20130426	122	0	379	146	129
20130427	98	0	377	113	195
20130428	70	0	342	84	297
20130429	42	0	210	53	330
20130430	20	0	162	22	466
2013051	16	0	287	0	264
2013052	0	0	204	0	95
2013053	0	0	425	0	168
2013054	0	0	258	0	244
2013055	0	289	138	0	182
2013056	0	156	191	93	114
2013057	0	37	198	247	289
2013058	0	200	328	324	408
2013059	0	462	320	257	415
20130510	31	724	227	176	313
20130511	2	23	8	3	12
20130512	153	287	144	135	350
20130513	211	316	96	176	329
20130514	267	952	58	194	447
20130515	316	765	16	224	248
20130516	376	979	0	394	194
20130517	415	1131	0	540	131
20130518	108	217	0	135	26
20130519	388	560	0	846	19
20130520	357	239	0	829	0
20130521	312	109	0	605	0
20130522	193	66	0	474	0
20130523	146	196	0	437	0
20130524	104	693	0	518	0
